boq_text,industry,subcategory,quantity,unit,project_type,season,region,tasks,stages
Preparing electrical wiring with reinforcement steel conduits including primer coat,Electrical,Wiring,114,nos,Industrial,normal,east,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing vitrified tiles piping network as per specifications,Plumbing,Piping,273,sqm,Commercial,normal,west,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing and fixing of ceramic tiles for woodwork as per standards,Interior,Carpentry,59,sqm,Commercial,monsoon,central,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""panel installation"", ""screw fixing"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing RCC work using GI channels in structural members as per specifications,Infra,RCC,107,rmt,Commercial,festival,west,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Executing RCC work using acrylic paint in structural members with complete materials,Infra,RCC,493,kg,Industrial,monsoon,north,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Applying electrical wiring with acrylic paint conduits including joint treatment,Electrical,Wiring,263,kg,Commercial,festival,south,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing gypsum boards for false ceiling framework as per specifications,Interior,FalseCeiling,401,kg,Commercial,normal,west,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""channel fixing"", ""board installation"", ""joint taping"", ""screw fixing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Fabricating cement concrete flooring with adhesive including joint treatment,Interior,Tiling,47,kg,Industrial,monsoon,central,"[""site measurement"", ""layout marking"", ""adhesive application"", ""tile laying"", ""grouting"", ""edge finishing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing emulsion paint piping network with curing,Plumbing,Piping,201,nos,Industrial,monsoon,north,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing electrical wiring with acrylic paint conduits including finishing,Electrical,Wiring,29,rmt,Industrial,monsoon,west,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing tank cleaning using chemicals and tools as per standards,Tank Cleaning,Tank,177,nos,Residential,monsoon,central,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing cement concrete piping network including primer coat,Plumbing,Piping,372,nos,Commercial,normal,east,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing wooden panels piping network including joint treatment,Plumbing,Piping,417,sqm,Industrial,monsoon,east,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Applying tank cleaning using chemicals and tools including primer coat,Tank Cleaning,Tank,97,kg,Residential,festival,north,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing two coats of acrylic paint on wall surface including primer coat,Interior,Painting,170,kg,Residential,monsoon,north,"[""site measurement"", ""surface preparation"", ""putty application"", ""primer application"", ""paint coat 1"", ""paint coat 2"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Applying RCC work using vitrified tiles in structural members with surface preparation,Infra,RCC,297,nos,Industrial,monsoon,central,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Fixing RCC work using reinforcement steel in structural members as per specifications,Infra,RCC,289,nos,Industrial,festival,east,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Installing tank cleaning using chemicals and tools including joint treatment,Tank Cleaning,Tank,295,nos,Residential,monsoon,east,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating electrical wiring with reinforcement steel conduits as per specifications,Electrical,Wiring,296,nos,Commercial,normal,central,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing tank cleaning using chemicals and tools as per standards,Tank Cleaning,Tank,158,sqm,Commercial,festival,south,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Laying reinforcement steel piping network with surface preparation,Plumbing,Piping,113,nos,Industrial,festival,east,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing electrical wiring with ceramic tiles conduits including finishing,Electrical,Wiring,352,rmt,Industrial,normal,south,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating reinforcement steel for false ceiling framework with complete materials,Interior,FalseCeiling,358,rmt,Residential,festival,north,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""channel fixing"", ""board installation"", ""joint taping"", ""screw fixing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Executing RCC work using laminated boards in structural members with surface preparation,Infra,RCC,397,nos,Commercial,monsoon,south,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Constructing acrylic paint flooring with adhesive as per standards,Interior,Tiling,223,rmt,Residential,monsoon,west,"[""site measurement"", ""layout marking"", ""adhesive application"", ""tile laying"", ""grouting"", ""edge finishing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Applying electrical wiring with acrylic paint conduits including joint treatment,Electrical,Wiring,300,sqm,Commercial,monsoon,west,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing tank cleaning using chemicals and tools including primer coat,Tank Cleaning,Tank,149,rmt,Residential,monsoon,north,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing RCC work using acrylic paint in structural members as per specifications,Infra,RCC,414,nos,Industrial,festival,north,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Preparing electrical wiring with cement concrete conduits as per specifications,Electrical,Wiring,54,kg,Industrial,normal,north,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating electrical wiring with ceramic tiles conduits including finishing,Electrical,Wiring,143,kg,Residential,monsoon,east,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Applying gypsum boards piping network as per specifications,Plumbing,Piping,364,rmt,Residential,festival,south,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing RCC work using PVC pipes in structural members including joint treatment,Infra,RCC,363,sqm,Industrial,monsoon,east,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Installing tank cleaning using chemicals and tools including primer coat,Tank Cleaning,Tank,88,kg,Industrial,festival,east,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing RCC work using laminated boards in structural members with surface preparation,Infra,RCC,400,rmt,Industrial,festival,south,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Constructing tank cleaning using chemicals and tools with complete materials,Tank Cleaning,Tank,479,sqm,Residential,festival,central,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing electrical wiring with GI channels conduits including primer coat,Electrical,Wiring,69,rmt,Industrial,festival,west,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Applying reinforcement steel for false ceiling framework as per standards,Interior,FalseCeiling,272,kg,Commercial,festival,south,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""channel fixing"", ""board installation"", ""joint taping"", ""screw fixing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Laying tank cleaning using chemicals and tools with curing,Tank Cleaning,Tank,140,sqm,Industrial,normal,central,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing two coats of GI channels on wall surface with complete materials,Interior,Painting,287,sqm,Residential,monsoon,south,"[""site measurement"", ""surface preparation"", ""putty application"", ""primer application"", ""paint coat 1"", ""paint coat 2"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Fixing vitrified tiles piping network with curing,Plumbing,Piping,201,kg,Commercial,monsoon,west,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating emulsion paint flooring with adhesive as per standards,Interior,Tiling,285,kg,Industrial,normal,north,"[""site measurement"", ""layout marking"", ""adhesive application"", ""tile laying"", ""grouting"", ""edge finishing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Laying two coats of reinforcement steel on wall surface with curing,Interior,Painting,282,kg,Residential,normal,west,"[""site measurement"", ""surface preparation"", ""putty application"", ""primer application"", ""paint coat 1"", ""paint coat 2"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Laying ceramic tiles piping network with complete materials,Plumbing,Piping,26,kg,Industrial,normal,north,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing electrical wiring with wooden panels conduits including finishing,Electrical,Wiring,238,sqm,Residential,festival,south,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing RCC work using cement concrete in structural members with surface preparation,Infra,RCC,396,sqm,Residential,festival,east,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Fabricating electrical wiring with ceramic tiles conduits including joint treatment,Electrical,Wiring,458,rmt,Industrial,festival,north,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Laying RCC work using acrylic paint in structural members as per standards,Infra,RCC,330,kg,Industrial,monsoon,south,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Constructing GI channels piping network with curing,Plumbing,Piping,219,rmt,Commercial,monsoon,north,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing tank cleaning using chemicals and tools including joint treatment,Tank Cleaning,Tank,449,rmt,Commercial,normal,central,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing RCC work using cement concrete in structural members as per standards,Infra,RCC,208,rmt,Commercial,normal,east,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Fabricating emulsion paint for false ceiling framework with surface preparation,Interior,FalseCeiling,36,nos,Commercial,festival,central,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""channel fixing"", ""board installation"", ""joint taping"", ""screw fixing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Providing tank cleaning using chemicals and tools with surface preparation,Tank Cleaning,Tank,255,rmt,Commercial,monsoon,south,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing electrical wiring with reinforcement steel conduits with surface preparation,Electrical,Wiring,366,rmt,Commercial,normal,central,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing reinforcement steel piping network as per specifications,Plumbing,Piping,167,nos,Commercial,festival,west,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing RCC work using GI channels in structural members with surface preparation,Infra,RCC,199,nos,Commercial,normal,central,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Applying electrical wiring with gypsum boards conduits with curing,Electrical,Wiring,161,rmt,Residential,monsoon,north,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing RCC work using cement concrete in structural members as per specifications,Infra,RCC,141,kg,Industrial,festival,west,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Fabricating RCC work using vitrified tiles in structural members as per standards,Infra,RCC,378,kg,Residential,festival,south,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Providing tank cleaning using chemicals and tools including finishing,Tank Cleaning,Tank,401,sqm,Commercial,normal,north,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Applying ceramic tiles flooring with adhesive including primer coat,Interior,Tiling,201,sqm,Industrial,festival,central,"[""site measurement"", ""layout marking"", ""adhesive application"", ""tile laying"", ""grouting"", ""edge finishing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Applying RCC work using acrylic paint in structural members with curing,Infra,RCC,16,sqm,Industrial,festival,east,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Applying tank cleaning using chemicals and tools with curing,Tank Cleaning,Tank,422,rmt,Residential,normal,central,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing electrical wiring with wooden panels conduits including joint treatment,Electrical,Wiring,427,nos,Commercial,monsoon,south,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing wooden panels piping network with surface preparation,Plumbing,Piping,366,rmt,Commercial,festival,south,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing two coats of PVC pipes on wall surface with curing,Interior,Painting,292,kg,Residential,festival,south,"[""site measurement"", ""surface preparation"", ""putty application"", ""primer application"", ""paint coat 1"", ""paint coat 2"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Executing electrical wiring with PVC pipes conduits as per specifications,Electrical,Wiring,299,sqm,Industrial,normal,north,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Laying electrical wiring with acrylic paint conduits with complete materials,Electrical,Wiring,360,nos,Industrial,festival,south,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Applying electrical wiring with ceramic tiles conduits as per standards,Electrical,Wiring,395,kg,Residential,monsoon,north,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing tank cleaning using chemicals and tools as per specifications,Tank Cleaning,Tank,206,rmt,Industrial,festival,south,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Applying tank cleaning using chemicals and tools with curing,Tank Cleaning,Tank,128,sqm,Commercial,festival,central,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating tank cleaning using chemicals and tools including joint treatment,Tank Cleaning,Tank,411,kg,Commercial,normal,east,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing tank cleaning using chemicals and tools with curing,Tank Cleaning,Tank,53,nos,Residential,festival,south,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing and fixing of PVC pipes for woodwork as per standards,Interior,Carpentry,388,kg,Commercial,monsoon,south,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""panel installation"", ""screw fixing"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Laying two coats of reinforcement steel on wall surface as per specifications,Interior,Painting,399,nos,Residential,normal,south,"[""site measurement"", ""surface preparation"", ""putty application"", ""primer application"", ""paint coat 1"", ""paint coat 2"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Executing electrical wiring with cement concrete conduits with curing,Electrical,Wiring,62,sqm,Residential,monsoon,central,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing and fixing of acrylic paint for woodwork including joint treatment,Interior,Carpentry,221,kg,Residential,festival,central,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""panel installation"", ""screw fixing"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing electrical wiring with vitrified tiles conduits as per standards,Electrical,Wiring,147,nos,Commercial,monsoon,north,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing gypsum boards flooring with adhesive with curing,Interior,Tiling,163,kg,Residential,monsoon,east,"[""site measurement"", ""layout marking"", ""adhesive application"", ""tile laying"", ""grouting"", ""edge finishing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing electrical wiring with reinforcement steel conduits with complete materials,Electrical,Wiring,79,nos,Residential,monsoon,east,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating tank cleaning using chemicals and tools as per specifications,Tank Cleaning,Tank,230,rmt,Commercial,monsoon,central,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating electrical wiring with vitrified tiles conduits with curing,Electrical,Wiring,173,nos,Industrial,festival,west,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating tank cleaning using chemicals and tools including joint treatment,Tank Cleaning,Tank,428,kg,Commercial,normal,central,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing electrical wiring with acrylic paint conduits including primer coat,Electrical,Wiring,492,rmt,Commercial,monsoon,south,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing RCC work using laminated boards in structural members including joint treatment,Infra,RCC,133,nos,Industrial,normal,west,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Executing RCC work using wooden panels in structural members including primer coat,Infra,RCC,308,kg,Industrial,festival,west,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Fabricating tank cleaning using chemicals and tools with complete materials,Tank Cleaning,Tank,65,rmt,Industrial,festival,east,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing electrical wiring with GI channels conduits with curing,Electrical,Wiring,64,sqm,Residential,monsoon,north,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing tank cleaning using chemicals and tools with curing,Tank Cleaning,Tank,247,rmt,Commercial,normal,west,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing and fixing of emulsion paint for woodwork with complete materials,Interior,Carpentry,435,rmt,Commercial,monsoon,east,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""panel installation"", ""screw fixing"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing RCC work using reinforcement steel in structural members as per specifications,Infra,RCC,253,sqm,Commercial,festival,west,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Laying acrylic paint piping network with complete materials,Plumbing,Piping,21,nos,Industrial,normal,north,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing electrical wiring with vitrified tiles conduits as per specifications,Electrical,Wiring,296,kg,Commercial,normal,west,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing electrical wiring with PVC pipes conduits including finishing,Electrical,Wiring,387,rmt,Commercial,festival,west,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing RCC work using ceramic tiles in structural members including joint treatment,Infra,RCC,395,sqm,Industrial,normal,central,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Fabricating electrical wiring with ceramic tiles conduits including primer coat,Electrical,Wiring,68,nos,Industrial,monsoon,central,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing wooden panels piping network with complete materials,Plumbing,Piping,188,nos,Commercial,festival,north,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing GI channels piping network with complete materials,Plumbing,Piping,132,nos,Residential,normal,east,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing electrical wiring with wooden panels conduits as per standards,Electrical,Wiring,304,kg,Commercial,normal,west,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing tank cleaning using chemicals and tools including primer coat,Tank Cleaning,Tank,157,rmt,Residential,monsoon,west,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
